timestamp,side,price,size,position,avg_entry_price,cash,realized_pnl,unrealized_pnl,total_pnl,mark_price,trade_id
2025-08-22T14:58:35.892968,sell,112342.57,0.012,-0.012,112342.57,1348.11084,0.0,-0.0,0.0,112342.57,fill_ask_1755867515892968
2025-08-22T14:58:35.894821,sell,112342.57,0.012,-0.024,112342.57,2696.22168,0.0,-0.0,0.0,112342.57,fill_ask_1755867515894822
2025-08-22T14:58:35.967762,sell,112342.57,0.00020999999999999838,-0.02421,112342.57,2719.8136197,0.0,-0.0,0.0,112342.57,fill_ask_1755867515967763
2025-08-22T14:58:36.145027,sell,112342.57,7.000000000000062e-05,-0.02428,112342.57,2727.6775996,0.0,-0.0,0.0,112342.57,fill_ask_1755867516145027
2025-08-22T14:58:36.172505,sell,112342.57,0.026699999999999998,-0.05098,112342.57,5727.2242186,0.0,-0.0,0.0,112342.57,fill_ask_1755867516172505
2025-08-22T14:58:36.683277,buy,112342.56,0.0,-0.0509,112342.57,5718.236813800001,8.000000007450255e-07,0.0005090000004740432,0.0005098000004747882,112342.56,fill_bid_1755867516683278
2025-08-22T14:58:38.107341,buy,112342.56,0.0,-0.05083,112342.57,5710.372834600001,1.5000000013969575e-06,0.0005083000004733912,0.0005098000004747882,112342.56,fill_bid_1755867518107348
2025-08-22T14:58:38.417644,buy,112342.56,0.0,-0.05078,112342.57,5704.755706600001,2.000000001862633e-06,0.0005078000004729256,0.0005098000004747882,112342.56,fill_bid_1755867518417644
2025-08-22T14:58:39.024737,buy,112342.56,0.0,-0.05071,112342.57,5696.8917274000005,2.700000002514565e-06,0.0005071000004722736,0.0005098000004747882,112342.56,fill_bid_1755867519024738
2025-08-22T14:58:39.280895,sell,112342.57,0.03717,-0.08788,112342.57,9872.6650543,2.700000002514565e-06,-0.0,2.700000002514565e-06,112342.57,fill_ask_1755867519280896
2025-08-22T14:58:39.280981,sell,112342.57,4.999999999999449e-05,-0.08793,112342.57000000002,9878.2821828,2.700000002514565e-06,1.2795499060302972e-12,2.7000012820644713e-06,112342.57,fill_ask_1755867519280981
2025-08-22T14:58:39.281052,sell,112342.57,4.999999999999449e-05,-0.08797999999999999,112342.57000000002,9883.8993113,2.700000002514565e-06,1.2802775017917155e-12,2.700001282792067e-06,112342.57,fill_ask_1755867519281051
2025-08-22T14:58:39.281121,sell,112342.57,4.999999999999449e-05,-0.08802999999999998,112342.57000000004,9889.5164398,2.700000002514565e-06,2.5620101951062674e-12,2.70000256452476e-06,112342.57,fill_ask_1755867519281121
